2022-08-11 08:00:00,1
2022-08-11 08:35:00,1
2022-08-11 08:55:00,1
2022-08-11 09:05:00,1
2022-08-11 09:10:00,1
2022-08-11 09:15:00,1
2022-08-11 09:20:00,1
2022-08-11 09:30:00,1
2022-08-11 09:35:00,1
2022-08-11 09:45:00,1
2022-08-11 09:55:00,2
2022-08-11 10:00:00,2
2022-08-11 10:10:00,3
2022-08-11 10:15:00,1
2022-08-11 10:20:00,6
2022-08-11 10:25:00,3
2022-08-11 10:30:00,1
2022-08-11 10:45:00,1
2022-08-11 10:55:00,2
2022-08-11 11:00:00,1
2022-08-11 11:10:00,1
2022-08-11 11:15:00,1
2022-08-11 11:25:00,1
2022-08-11 11:50:00,1
2022-08-11 11:55:00,1
2022-08-11 12:10:00,1
2022-08-11 13:15:00,1
2022-08-11 13:35:00,1
2022-08-11 13:45:00,3
2022-08-11 13:50:00,4
2022-08-11 13:55:00,5
2022-08-11 13:55:00,2
2022-08-11 14:00:00,1
2022-08-11 14:05:00,2
2022-08-11 14:10:00,1
2022-08-11 14:15:00,4
2022-08-11 14:20:00,1
2022-08-11 14:30:00,2
2022-08-11 14:35:00,2
2022-08-11 14:50:00,2
2022-08-11 14:55:00,2
2022-08-11 15:00:00,1
2022-08-11 15:05:00,1
2022-08-11 15:15:00,1
2022-08-11 15:30:00,1
2022-08-11 15:35:00,1
2022-08-11 15:45:00,4
2022-08-11 15:50:00,6
2022-08-11 15:55:00,5
2022-08-11 15:55:00,1
2022-08-11 16:00:00,2
2022-08-11 16:05:00,1
2022-08-11 16:35:00,1
2022-08-11 17:05:00,1
2022-08-11 17:50:00,1
2022-08-11 17:55:00,1
